index,Area,Unit Price (Saleable)int,gain/loss
901,Diamond Hill,11749,
902,Four Little Dragons,15453,1
903,Mong Kok,18429,1
904,Yau Yat Tsuen,18235,
905,Kam Tin,12350,0
906,Tsuen Wan West,18269,1
907,To Kwa Wan,18789,
908,Kai Tak New Area,23134,1
909,Kornhill,13674,1
910,To Kwa Wan,13728,
911,Kennedy Town,16860,1
912,Sham Shui Po,9043,1
913,Kam Tin,11462,1
914,To Kwa Wan,15632,1
915,To Kwa Wan,15495,
916,Tuen Mun North,11026,1
917,Heng Fa Chuen,14732,
918,To Kwa Wan,11503,
919,Cheung Sha Wan,9067,1
920,Tin Shui Wai,14814,
921,Tin Shui Wai,14508,
922,Tin Shui Wai,16746,
923,Tin Shui Wai,9236,0
924,Discovery Bay,9545,0
925,Siu Hong,13727,1
926,Tin Shui Wai,15239,
927,Tin Shui Wai,16548,
928,Tin Shui Wai,6544,
929,Lam Tin,11397,
930,Lam Tin,12233,1
931,Tin Shui Wai,13609,
932,Tin Shui Wai,9384,1
933,Luk Yeung,12113,
934,Hung Hom,7952,
935,Olympic Station,19002,1
936,Happy Valley,59165,1
937,Ha Kwai Chung,18176,1
938,Central,20500,1
939,Kai Tak New Area,28529,
940,North Point,15820,1
941,Discovery Park,15359,
942,Sheung Kwai Chung,7018,1
943,Luk Yeung,13551,
944,Hung Hom,10431,1
945,North Point Mid-Levels,13908,
946,North Point Mid-Levels,20964,1
947,Four Little Dragons,16115,1
948,Four Little Dragons,18263,1
949,Lam Tin,12908,1
950,Lam Tin,10942,
951,Tsing Yi,15440,1
952,Discovery Bay,9007,
953,Discovery Bay,8918,0
954,Tsing Yi,4694,
955,Tsing Yi,5562,
956,To Kwa Wan,12618,1
957,To Kwa Wan,12589,
958,Kowloon Bay,12285,
959,Tsz Wan Shan,7220,
960,Sheung Kwai Chung,7393,
961,Lai King,10263,
962,Tin Wan,15052,1
963,Long Ping,12517,1
964,Tai Kok Tsui,27607,
965,Kai Tak New Area,22978,1
966,To Kwa Wan,9352,
967,Chai Wan,11531,
968,To Kwa Wan,9541,1
969,Kornhill,16338,
970,Mei Foo,12420,1
971,Tuen Mun North,10631,1
972,Ap Lei CHau,7476,
973,Nam Cheong Station,23181,1
974,Nam Cheong Station,28171,
975,Anderson,6988,
976,Yau Ma Tei,12924,1
977,Tung Chung Town Centre,10667,1
978,Tung Chung Town Centre,11945,1
979,Tin Hau,31215,
980,Kam Tin,11873,1
981,Tung Chung Town Centre,11723,
982,South Horizons,16480,1
983,Cheung Sha Wan,13920,1
984,Cheung Sha Wan,11321,
985,Sheung Wan,16842,
986,Yau Tong,10579,
987,North Point,13223,1
988,To Kwa Wan,12520,1
989,To Kwa Wan,12660,
990,To Kwa Wan,12975,
991,To Kwa Wan,8316,
992,Kowloon Bay,16302,
993,To Kwa Wan,12911,
994,Tai Kok Tsui,18983,1
995,Tsuen Wan West,19427,1
996,Chai Wan,12261,1
997,Sham Shui Po,9412,0
998,Taikoo Shing,14483,1
999,Taikoo Shing,16379,1
1000,Tuen Mun Ferry Pier,10072,
1001,Tin Shui Wai,15402,
1002,Tin Shui Wai,10055,1
1003,Tin Shui Wai,15451,
1004,Tin Shui Wai,15284,
1005,Sham Shui Po,17852,
1006,Tin Shui Wai,14007,
1007,Tin Shui Wai,15465,
1008,Ma Tau Wai,13111,
1009,Taikoo Shing,14483,1
1010,Kowloon Station,25827,1
1011,Tin Shui Wai,10795,1
1012,Tin Shui Wai,10173,1
1013,Tin Shui Wai,9749,
1014,Ngau Tau Kok,11912,
1015,Tin Shui Wai,15703,
1016,Tin Shui Wai,14609,
1017,Sham Shui Po,17798,
1018,Sham Shui Po,13748,1
1019,Sham Tseng,11708,
1020,Kwun Tong,7545,
1021,Laguna,22298,1
1022,Tin Shui Wai,15069,
1023,Tuen Mun South,10679,1
1024,Whampoa,15579,1
1025,Whampoa,13016,1
1026,Tsuen King Circuit,11253,
1027,Tuen Mun South,10931,1
1028,Ho Man Tin,39216,1
1029,Sham Tseng,10661,1
1030,Whampoa,21163,
1031,Tsing Yi,5769,
1032,Ngau Tau Kok,9636,
1033,Ho Man Tin,12166,
1034,Tin Shui Wai,13854,
1035,Tsz Wan Shan,7627,
1036,Ho Man Tin,,1
1037,Ngau Tau Kok,10626,
1038,North Point,10611,
1039,Tung Chung Town Centre,13679,1
1040,Tung Chung Town Centre,13409,1
1041,Four Little Dragons,16628,1
1042,Sai Ying Pun,25000,1
1043,Kornhill,16673,1
1044,Nam Cheong Station,24831,1
1045,Tsing Yi,5608,
1046,Four Little Dragons,16802,1
1047,Wan Chai,17810,1
1048,Tuen Mun San Hui,8557,
1049,Tin Shui Wai,15084,
1050,Tsuen King Circuit,11785,
1051,Sham Tseng,8223,1
1052,To Kwa Wan,,
1053,Kwun Tong,18989,1
1054,Jordan,10526,1
1055,Tin Shui Wai,16063,
1056,Siu Lam,8811,1
1057,Tuen Mun San Hui,14780,1
1058,Ma Wan,10923,0
1059,Mei Foo,12610,1
1060,Tin Shui Wai,15558,
1061,Tin Shui Wai,10348,
1062,Mei Foo,11418,1
1063,Kam Tin,15233,0
1064,So Kwun Wat,16378,
1065,Kennedy Town,15472,1
1066,Tai Kok Tsui,28363,
1067,Tung Chung Town Centre,11845,
1068,Mid-Levels West,30669,1
1069,Yuen Long Station,12935,
1070,Kennedy Town,11202,
1071,Kennedy Town,27471,1
1072,Nam Cheong Station,23811,
1073,Lam Tin,9928,
1074,To Kwa Wan,9317,
1075,Taikoo Shing,21439,1
1076,To Kwa Wan,9106,
1077,Tuen Mun South,12386,1
1078,To Kwa Wan,13766,1
1079,Tin Shui Wai,15591,
1080,Cheung Sha Wan,14000,1
1081,Hung Shui Kiu North New Development Area,8517,
1082,Cheung Sha Wan,11788,
1083,Tsing Yi,14891,
1084,Lam Tei,9877,1
1085,Diamond Hill,12748,
1086,Kowloon City,8533,
1087,Tsim Sha Tsui,14558,1
1088,Ho Man Tin,14367,1
1089,Tin Shui Wai,14480,
1090,To Kwa Wan,17926,1
1091,To Kwa Wan,12729,
1092,Tin Shui Wai,15672,
1093,Chai Wan,13200,1
1094,To Kwa Wan,8613,0
1095,Sai Wan Ho,10176,
1096,So Kwun Wat,14840,
1097,Siu Hong,10520,
1098,Tuen Mun Town Centre,16572,1
1099,Tsing Yi,5359,
1100,Tuen Mun Town Centre,9694,1
1101,Tuen Mun Town Centre,16427,1
1102,Wan Chai,13008,1
1103,Tuen Mun Town Centre,13361,1
1104,Palm Springs / Fairview,12445,
1105,Tin Shui Wai,15873,
1106,Tin Shui Wai,11170,
1107,Shau Kei Wan,12774,
1108,Wong Tai Sin,17361,1
1109,Wong Tai Sin,9025,
1110,Tuen Mun North,8123,
1111,Tsuen Wan West,15289,1
1112,Mid-Levels Central,22792,1
1113,Tsuen Wan West,12842,1
1114,Siu Sai Wan,17802,1
1115,Cheung Sha Wan,12222,
1116,Palm Springs / Fairview,11678,
1117,Sai Ying Pun,28078,1
1118,Tsing Yi,12797,1
1119,Ho Man Tin,13519,
1120,Kowloon Bay,12015,1
1121,Tsing Yi,5197,
1122,Tsz Wan Shan,11660,
1123,Tin Shui Wai,10952,1
1124,Prince Edward,10070,0
1125,Olympic Station,20131,1
1126,Kwun Tong,21277,1
1127,Hung Hom,7771,1
1128,Ha Kwai Chung,15929,1
1129,Diamond Hill,13410,
1130,Shau Kei Wan,13350,1
1131,Hung Hom,14599,1
1132,Tsing Yi,10689,
1133,Tsing Yi,5476,
1134,Au Tau,9736,1
1135,Siu Hong,13564,1
1136,Chi Lok,10598,
1137,Tin Shui Wai,10603,
1138,Tin Shui Wai,14935,
1139,Discovery Park,12511,1
1140,Tin Shui Wai,14595,
1141,Kowloon Bay,12563,1
1142,Kwun Tong,9124,
1143,Mong Kok,9417,
1144,Tsuen Wan Town Centre,15935,1
1145,Palm Springs / Fairview,16632,
1146,Kowloon Bay,12146,
1147,Tin Shui Wai,15280,
1148,Diamond Hill,16344,
1149,Kam Tin,13732,
1150,Lam Tin,13927,
1151,Tuen Mun San Hui,14322,
1152,Tung Chung Town Centre,11191,
1153,Ma Wan,12405,1
1154,Mid-Levels West,21108,1
1155,Mid-Levels West,14813,0
1156,Mong Kok,9545,
1157,Tuen Mun Town Centre,13237,
1158,Sai Wan Ho,11679,
1159,Tuen Mun Town Centre,13158,
1160,Tin Shui Wai,13818,
1161,Kowloon Station,20370,1
1162,Shau Kei Wan,11740,
1163,Tai Tam,32406,1
1164,Mong Kok,9012,
1165,Tuen Mun Ferry Pier,11253,
1166,Chi Lok,8317,
1167,Mid-Levels West,29943,1
1168,Kowloon Tong,25847,0
1169,Tin Shui Wai,10633,1
1170,Central,19219,
1171,To Kwa Wan,9870,
1172,Wah Fu,11552,
1173,Shap Pat Heung,11403,
1174,Hung Hom,15085,1
1175,Mid-Levels West,31973,1
1176,To Kwa Wan,9271,
1177,Tuen Mun San Hui,10507,1
1178,Tin Shui Wai,9398,
1179,Mei Foo,10546,1
1180,Mei Foo,9317,
1181,Tin Shui Wai,6154,
1182,Kennedy Town,14602,1
1183,Tin Shui Wai,13199,
1184,Tin Shui Wai,14537,
1185,Mid-Levels West,22857,1
1186,Mid-Levels Central,16175,1
1187,Heng Fa Chuen,14978,
1188,To Kwa Wan,9316,
1189,Repulse Bay,23381,1
1190,Sam Shing,10998,1
1191,Au Tau,9417,1
1192,Tsuen King Circuit,10539,
1193,Tuen Mun San Hui,11152,
1194,Tuen Mun San Hui,14896,1
1195,Ha Kwai Chung,15687,
1196,Choi Hung,12944,1
1197,Yuen Long Station,13000,
1198,Belvedere,11809,1
1199,Tsuen Wan Town Centre,,
1200,North Point,,
1201,Tsuen Wan West,12665,0
1202,Kai Tak New Area,29520,
1203,Tsuen Wan Town Centre,10021,
1204,Tin Shui Wai,14621,
1205,Tin Shui Wai,18440,
1206,North Point,14231,1
1207,To Kwa Wan,8978,1
1208,Tin Shui Wai,10942,1
1209,Tin Shui Wai,11111,
1210,Tin Shui Wai,15859,
1211,To Kwa Wan,8960,
1212,To Kwa Wan,8952,
1213,Kennedy Town,20747,1
1214,To Kwa Wan,12778,
1215,Cheung Sha Wan,9890,1
1216,Belvedere,13063,1
1217,Tin Shui Wai,14461,
1218,Tin Shui Wai,11928,1
1219,Kwun Tong,24554,
1220,Tuen Mun North,8081,
1221,Kwun Tong,9333,
1222,Kwun Tong,20033,
1223,Tin Shui Wai,13711,
1224,Prince Edward,10892,0
1225,Yuen Long Town Centre,14076,1
1226,Yiu Tung,9133,
1227,Lam Tin,21050,
1228,Four Little Dragons,15717,1
1229,Prince Edward,20804,1
1230,Tuen Mun North,11084,1
1231,Tin Shui Wai,14598,
1232,Tin Shui Wai,15145,
1233,Tin Shui Wai,10238,1
1234,Mid-Levels West,19903,
1235,To Kwa Wan,9222,1
1236,Tin Shui Wai,14375,
1237,Tin Shui Wai,14766,
1238,Choi Hung,13964,1
1239,Cheung Sha Wan,8198,
1240,Tai Kok Tsui,27447,
1241,Prince Edward,10777,
1242,Tsing Yi,5843,
1243,Tsing Yi,10236,
1244,Tai Hang,18868,1
1245,Discovery Bay,10812,1
1246,Tung Chung Town Centre,11702,1
1247,Luk Yeung,12509,1
1248,Siu Lam,9574,1
1249,Tsz Wan Shan,13716,
1250,Tsuen King Circuit,14902,1
1251,Tin Shui Wai,8777,1
1252,To Kwa Wan,12857,1
1253,Yuen Long Station,15820,0
1254,Ap Lei CHau,13113,
1255,Tuen Mun Town Centre,17175,
1256,Sheung Wan,13333,0
1257,Sheung Wan,22316,1
1258,Tin Shui Wai,14477,
1259,Kornhill,11788,1
1260,Tin Shui Wai,15519,
1261,Tin Hau,15074,1
1262,Tuen Mun South,7243,
1263,Tuen Mun South,5976,
1264,Tin Shui Wai,15029,
1265,Sai Wan Ho,10854,1
1266,To Kwa Wan,,1
1267,Discovery Bay,9516,1
1268,Discovery Bay,8736,1
1269,Yuen Long Town Centre,9777,
1270,Wah King,9498,
1271,Quarry Bay,9231,
1272,Chai Wan,9664,
1273,Four Little Dragons,13818,1
1274,Discovery Bay,8523,1
1275,To Kwa Wan,19625,1
1276,Four Little Dragons,17480,1
1277,Heng Fa Chuen,14954,
1278,Tuen Mun South,7095,
1279,Tin Shui Wai,16134,
1280,To Kwa Wan,13680,1
1281,Tsuen Wan West,17891,0
1282,Sham Tseng,12547,1
1283,Jordan,12473,
1284,Jordan,16917,
1285,Belvedere,10608,
1286,Olympic Station,21344,1
1287,Kowloon Bay,14858,1
1288,To Kwa Wan,9209,
1289,Cheung Sha Wan,13199,0
1290,Mei Foo,11186,1
1291,Whampoa,14085,1
1292,Whampoa,17382,1
1293,Sheung Wan,12889,0
1294,Tsing Yi,5853,
1295,Tung Chung Town Centre,14041,1
1296,Sham Tseng,9507,1
1297,Anderson,6755,
1298,Tin Shui Wai,13638,
1299,To Kwa Wan,8219,
1300,Tin Shui Wai,14124,
1301,Tsing Yi,5920,
1302,Tsim Sha Tsui,14540,
1303,Tung Chung Town Centre,12534,1
1304,Tsing Yi,5637,
1305,Tsing Yi,5544,
1306,To Kwa Wan,8531,
1307,Ho Man Tin,16996,1
1308,To Kwa Wan,9633,
1309,Tung Chung Town Centre,11162,
1310,To Kwa Wan,13954,1
1311,Four Little Dragons,16090,1
1312,Kornhill,13944,
1313,Au Tau,14325,
1314,Four Little Dragons,17713,
1315,Jordan,12474,1
1316,Four Little Dragons,14822,1
1317,Four Little Dragons,15927,1
1318,Diamond Hill,11033,
1319,Repulse Bay,27441,1
1320,Diamond Hill,7494,
1321,Diamond Hill,7705,
1322,Tung Chung Town Centre,15487,1
1323,Mid-Levels East,70144,
1324,Tsing Yi,23911,
1325,To Kwa Wan,10532,1
1326,Quarry Bay,15863,
1327,Whampoa,14513,
1328,Siu Lam,10286,
1329,Tin Shui Wai,14222,
1330,Tin Shui Wai,10197,1
1331,Ma Tau Wai,9419,1
1332,Wah King,12672,1
1333,Sham Shui Po,10000,
1334,Kai Tak New Area,19818,0
1335,Kai Tak New Area,21429,0
1336,Cheung Sha Wan,17254,1
1337,Hung Hom,15157,1
1338,Cheung Sha Wan,9891,
1339,Tsing Yi,12637,1
1340,Yau Tong,10995,
1341,Mei Foo,11962,
1342,Hung Hom,15271,1
1343,To Kwa Wan,8476,1
1344,To Kwa Wan,9998,1
1345,Tuen Mun North,7856,
1346,South Horizons,16814,
1347,South Horizons,18980,1
1348,Laguna,18132,1
1349,Sai Wan Ho,26222,1
1350,Kowloon City,8800,
1351,To Kwa Wan,12656,1
1352,Wong Tai Sin,11500,1
1353,Lam Tin,13836,1
1354,Whampoa,16067,1
1355,Lam Tin,14944,1
1356,Tsing Yi,8484,
1357,Diamond Hill,8914,
1358,Nam Cheong Station,28834,1
1359,Tung Chung Town Centre,11679,1
1360,North Point,18222,1
1361,Whampoa,13180,1
1362,North Point,55805,
1363,Tsing Yi,10813,
1364,Pok Fu Lam,18645,1
1365,Olympic Station,23448,1
1366,Tuen Mun Town Centre,15876,1
1367,Sheung Wan,24453,1
1368,To Kwa Wan,9808,
1369,Happy Valley,17614,1
1370,Luk Yeung,13579,1
1371,Yuen Long Town Centre,10827,1
1372,Yuen Long Town Centre,9375,1
1373,Yuen Long Town Centre,10741,1
1374,Yuen Long Town Centre,11065,
1375,Yau Ma Tei,14615,1
1376,Kennedy Town,16327,1
1377,Tuen Mun North,11682,1
1378,Jordan,11078,
1379,Tin Shui Wai,13661,
1380,Long Ping,15104,1
1381,Kowloon Bay,15672,1
1382,Chi Lok,8716,0
1383,Chai Wan,9571,
1384,To Kwa Wan,8951,
1385,Jordan,13480,1
1386,Tsing Yi,12615,1
1387,Tuen Mun Town Centre,16519,1
1388,Diamond Hill,12793,
1389,To Kwa Wan,12429,
1390,Cheung Sha Wan,21448,
1391,Tuen Mun North,9173,
1392,Tuen Mun North,11298,1
1393,Tin Shui Wai,13762,
1394,Deep Bay,8469,
1395,Tin Shui Wai,14331,
1396,So Kwun Wat,16545,
1397,Tsing Yi,16981,1
1398,Tai Kok Tsui,9628,
1399,Siu Hong,9315,
1400,Ha Kwai Chung,6625,
1401,Yuen Long Station,16667,1
1402,Yuen Long Station,13435,
1403,Kowloon Bay,15995,1
1404,Discovery Bay,13825,1
1405,Tin Shui Wai,14685,
1406,Tsuen King Circuit,11202,0
1407,Tin Shui Wai,14800,
1408,Tin Shui Wai,15437,
1409,Tsuen King Circuit,9320,
1410,Tin Shui Wai,15499,
1411,Tin Shui Wai,14744,
1412,Tin Shui Wai,14607,
1413,Lam Tin,9594,
1414,Lam Tin,16546,
1415,Tsuen King Circuit,12707,1
1416,Discovery Bay,10000,
1417,Tin Shui Wai,14756,
1418,Tin Shui Wai,15081,
1419,To Kwa Wan,13245,1
1420,Tai Hang Mid-Levels,20772,1
1421,North Point,13553,1
1422,Tin Shui Wai,9619,1
1423,Tin Shui Wai,14744,
1424,Yau Ma Tei,15053,1
1425,Whampoa,16710,
1426,Sai Wan Ho,19431,0
1427,Deep Bay,16447,1
1428,Mid-Levels West,23733,1
1429,Whampoa,15095,1
1430,So Kwun Wat,15756,
1431,Sheung Wan,20492,1
1432,Tsuen King Circuit,12875,1
1433,To Kwa Wan,12802,
1434,Tsing Yi,13836,1
1435,Tsuen Wan West,13263,1
1436,Cheung Sha Wan,12320,
1437,Tuen Mun San Hui,8290,
1438,To Kwa Wan,13427,1
1439,Wan Chai,15611,
1440,Tin Shui Wai,15829,
1441,Tin Shui Wai,14969,
1442,Kowloon Bay,12899,
1443,Tin Shui Wai,13300,
1444,Chi Lok,10047,1
1445,Kowloon Bay,14340,0
1446,North Point,22705,
1447,Yuen Long Town Centre,7368,
1448,Tuen Mun South,10424,
1449,Palm Springs / Fairview,12203,1
1450,Tsuen Wan Town Centre,8899,
1451,Yuen Long Town Centre,9146,1
1452,Tin Shui Wai,11043,1
1453,North Point,18502,0
1454,Hung Hom,13389,1
1455,Tung Chung Town Centre,6957,
1456,South Horizons,18980,1
1457,North Point,13568,1
1458,Wah Fu,13875,
1459,Taikoo Shing,19902,1
1460,Tin Shui Wai,15067,
1461,Tuen Mun South,11213,1
1462,Nob Hill,17352,1
1463,Belvedere,12391,1
1464,Tung Chung Town Centre,14182,1
1465,To Kwa Wan,14810,
1466,Yuen Long South New Development Area,13588,0
1467,Jordan,,
1468,Kai Tak New Area,24857,
1469,Tung Chung Town Centre,11368,1
1470,Kai Tak New Area,24465,
1471,Siu Hong,12103,1
1472,Tuen Mun Ferry Pier,11211,1
1473,Sham Shui Po,3320,1
1474,Yau Ma Tei,18210,1
1475,Tin Hau,20974,1
1476,Kai Tak New Area,25517,
1477,Tung Chung Town Centre,11674,1
1478,Tuen Mun South,14595,1
1479,Kai Tak New Area,30840,
1480,Cheung Sha Wan,11520,1
1481,Lam Tei,11237,1
1482,To Kwa Wan,14189,1
1483,Shek Tong Tsui,13569,1
1484,Tin Shui Wai,11610,1
1485,Shek Tong Tsui,26786,0
1486,Yau Tong,20848,
1487,North Point Mid-Levels,20350,
1488,Nam Cheong Station,12582,
1489,Residence Bel-air,26442,1
1490,Tai Kok Tsui,23701,
1491,To Kwa Wan,9591,
1492,Kwun Tong,9975,
1493,Tuen Mun Town Centre,10594,1
1494,Tsing Yi,7009,
1495,Tin Shui Wai,14508,
1496,Ha Kwai Chung,11451,
1497,Tin Shui Wai,13156,
1498,Tin Shui Wai,14845,
1499,Tin Shui Wai,16480,
1500,Tin Shui Wai,13262,
1501,So Kwun Wat,15526,
1502,Tin Shui Wai,13613,
1503,Kennedy Town,11331,1
1504,Four Little Dragons,17100,1
1505,Long Ping,16434,1
1506,Tsing Yi,5330,
1507,Sham Tseng,14316,1
1508,Au Tau,13134,1
1509,Tsing Yi,13055,
1510,Belvedere,10979,1
1511,Tin Shui Wai,14567,
1512,Kowloon Tong,15241,1
1513,Long Ping,15241,0
1514,Tsing Yi,5947,
1515,Diamond Hill,7530,
1516,Siu Hong,10417,1
1517,Tung Chung Town Centre,11601,1
1518,Belvedere,11329,
1519,Tsing Yi,15362,1
1520,To Kwa Wan,13566,1
1521,Tsing Yi,5490,
1522,Prince Edward,8351,
1523,Lam Tin,12469,
1524,To Kwa Wan,13575,
1525,To Kwa Wan,19913,1
1526,Four Little Dragons,18231,1
1527,Tin Shui Wai,16510,
1528,Kwun Tong,11509,1
1529,Lam Tin,11645,1
1530,To Kwa Wan,15017,1
1531,Tin Shui Wai,14694,
1532,Tin Shui Wai,15849,
1533,Tin Shui Wai,6354,
1534,Sai Wan Ho,24438,1
1535,Taikoo Shing,17034,1
1536,Sai Ying Pun,14113,1
1537,Tuen Mun South,9830,1
1538,Lam Tin,13649,1
1539,Yiu Tung,9353,
1540,Shau Kei Wan,12270,1
1541,Tuen Mun South,10769,1
1542,Tsuen Wan Hoi Bun,10915,
1543,Tsuen Wan Town Centre,10000,
1544,Sham Shui Po,2923,1
1545,Sai Wan Ho,10852,
1546,Tsim Sha Tsui,34196,0
1547,Four Little Dragons,17160,1
1548,Wah King,11656,
1549,Ma Wan,11122,1
1550,San Po Kong,19623,1
1551,Quarry Bay,16240,1
1552,Tsing Yi,13261,1
1553,Prince Edward,7590,1
1554,Hung Shui Kiu North New Development Area,12594,1
1555,So Kwun Wat,28631,
1556,Sheung Kwai Chung,8696,
1557,Ap Lei CHau,8924,
1558,Residence Bel-air,27205,1
1559,Tsing Yi,11947,1
1560,Chi Lok,10479,1
1561,Yuen Long Town Centre,10368,1
1562,Whampoa,16293,
1563,Tsuen King Circuit,8425,1
1564,Jordan,13292,1
1565,Yau Yat Tsuen,14172,
1566,Chai Wan,11070,
1567,North Point,23895,0
1568,Ping Shan,7797,
1569,Chai Wan,6167,
1570,Tin Shui Wai,14875,
1571,Tsing Yi,15306,1
1572,Lam Tin,14007,1
1573,Sai Wan Ho,24539,1
1574,Kennedy Town,13410,1
1575,Lam Tin,13419,1
1576,Tsing Yi,11970,1
1577,Cheung Sha Wan,12300,
1578,Tsuen Wan Hoi Bun,13208,1
1579,Sheung Kwai Chung,12022,1
1580,Tsuen King Circuit,11290,1
1581,Tin Shui Wai,15735,
1582,To Kwa Wan,14668,
1583,To Kwa Wan,14859,1
1584,Tsuen Wan Town Centre,13240,
1585,Tuen Mun South,7095,
1586,Kwun Tong,13980,1
1587,Diamond Hill,8885,
1588,Tin Shui Wai,9287,1
1589,Yuen Long Town Centre,10793,1
1590,To Kwa Wan,18704,1
1591,Yuen Long Town Centre,11268,1
1592,Tin Shui Wai,14479,
1593,Tsuen Wan West,19444,1
1594,Tin Shui Wai,14534,
1595,Tsuen Wan West,21400,1
1596,Tin Shui Wai,17772,
1597,Heng Fa Chuen,14930,0
1598,Mid-Levels West,20849,1
1599,Ma Hang,7601,
1600,Tin Shui Wai,13055,
1601,Ho Man Tin,16918,1
1602,Tuen Mun Town Centre,12810,1
1603,Tsing Yi,11852,0
1604,Discovery Bay,9868,1
1605,Cheung Sha Wan,17380,1
1606,Tsing Yi,15437,1
1607,Kai Tak New Area,24637,
1608,Yuen Long Town Centre,13722,1
1609,Mid-Levels West,23665,1
1610,Kai Tak New Area,23904,
1611,Yuen Long Station,13109,1
1612,Kowloon Bay,11059,
1613,Tuen Mun Town Centre,12924,0
1614,Discovery Bay,8983,1
1615,Tuen Mun Town Centre,13182,
1616,Tsing Yi,5721,
1617,Tin Shui Wai,15015,
1618,Nob Hill,13553,1
1619,Mong Kok,8667,
1620,Tin Shui Wai,15128,
1621,Wong Tai Sin,12403,
1622,Tin Shui Wai,10491,0
1623,Wong Tai Sin,11566,
1624,To Kwa Wan,11150,0
1625,Tai Kok Tsui,28000,
1626,Tai Kok Tsui,24715,
1627,Tai Kok Tsui,22257,
1628,Yuen Long Station,11788,1
1629,To Kwa Wan,9871,1
1630,Yau Tong,9259,
1631,Yuen Long Town Centre,11050,1
1632,Kam Tin,12745,1
1633,Kowloon Station,23396,1
1634,Yuen Long Station,17158,
1635,Taikoo Shing,17126,1
1636,Whampoa,14655,
1637,Tsing Yi,5757,
1638,Repulse Bay,31073,1
1639,To Kwa Wan,10137,1
1640,Discovery Park,13502,1
1641,Mong Kok,9016,
1642,Tin Shui Wai,13885,
1643,Whampoa,19570,1
1644,To Kwa Wan,9613,
1645,Sham Tseng,11947,1
1646,Tin Shui Wai,15144,
1647,Tsing Yi,13573,1
1648,Sai Wan Ho,25132,
1649,Discovery Bay,8899,0
1650,North Point,11799,1
1651,Tuen Mun San Hui,10661,1
1652,Lai King,10981,
1653,King's Park,24209,
1654,Four Little Dragons,15917,1
1655,Tsuen King Circuit,7884,1
1656,North Point,8993,1
1657,Tsuen King Circuit,9757,1
1658,Shau Kei Wan,12186,
1659,Belvedere,10928,1
1660,Taikoo Shing,17143,
1661,So Kwun Wat,12821,1
1662,Siu Sai Wan,7810,
1663,Long Ping,14607,1
1664,Tin Shui Wai,15098,
1665,Causeway Bay,,0
1666,To Kwa Wan,14547,1
1667,Kowloon Bay,16646,1
1668,Causeway Bay,,0
1669,Siu Sai Wan,16774,0
1670,Tai Kok Tsui,16456,1
1671,Siu Hong,9662,
1672,Sheung Kwai Chung,11798,1
1673,Ngau Tau Kok,13115,1
1674,Yuen Long Town Centre,9524,1
1675,Causeway Bay,10953,1
1676,Siu Hong,13239,
1677,Mid-Levels East,22019,1
1678,Tung Chung Town Centre,14021,
1679,Wong Tai Sin,9264,1
1680,To Kwa Wan,11756,
1681,Tuen Mun Town Centre,9677,
1682,Wan Chai,11382,
1683,Tin Shui Wai,14563,
1684,North Point Mid-Levels,28258,1
1685,Tuen Mun Ferry Pier,11803,1
1686,Wan Chai,27217,
1687,Shek Kip Mei,10681,
1688,Tuen Mun South,12939,1
1689,Yuen Long Station,18402,0
1690,Mong Kok,8969,
1691,Tin Shui Wai,14509,
1692,Wan Chai,17737,1
1693,Ha Kwai Chung,15024,
1694,Stanley,15700,0
1695,Ma Wan,12973,1
1696,Causeway Bay,,
1697,Tsuen Wan Town Centre,11865,
1698,Tin Shui Wai,13900,
1699,Au Tau,11529,1
1700,Tsing Yi,13752,1
1701,Kennedy Town,20605,1
1702,Kennedy Town,19858,1
1703,Kwun Tong,9709,
1704,Tsuen Wan Town Centre,15056,1
1705,Tin Shui Wai,14003,
1706,To Kwa Wan,8785,1
1707,To Kwa Wan,16104,1
1708,Tsing Yi,13373,0
1709,Four Little Dragons,21523,1
1710,Tsuen Wan Town Centre,12220,1
1711,Tin Shui Wai,14306,
1712,Ngau Tam Mei,10352,0
1713,Tsuen Wan West,18580,1
1714,Lai Wan,8752,
1715,Au Tau,15630,1
1716,Belvedere,12424,
1717,Tai Kok Tsui,21535,
1718,Tin Shui Wai,16096,
1719,Tuen Mun North,10130,1
1720,To Kwa Wan,9389,
1721,Ma Hang,14388,
1722,Mong Kok,12853,0
1723,Tsing Yi,11947,1
1724,Mei Foo,11327,1
1725,Tuen Mun Ferry Pier,15633,1
1726,Kwun Tong,5330,
1727,Ho Man Tin,21380,1
1728,Tai Kok Tsui,9137,1
1729,Diamond Hill,12794,
1730,Ho Man Tin,25335,1
1731,Tsing Yi,11501,
1732,Tuen Mun South,10445,1
1733,Belvedere,11572,1
1734,Lam Tin,14352,1
1735,Tin Shui Wai,14493,
1736,Tuen Mun San Hui,11068,0
1737,Tsing Yi,11697,
1738,Kai Tak New Area,22794,0
1739,Diamond Hill,15312,1
1740,Tin Shui Wai,15190,
1741,Diamond Hill,13597,
1742,Ho Man Tin,21000,0
1743,Kai Tak New Area,24735,
1744,Yuen Long Town Centre,10921,1
1745,Tin Shui Wai,15587,
1746,Tin Shui Wai,15884,
1747,Tin Shui Wai,10018,1
1748,Mong Kok,9344,1
1749,Hung Hom,10563,
1750,So Kwun Wat,10805,
1751,Tai Kok Tsui,15414,1
1752,Tsuen Wan West,12160,
